OBJECT 1 ladybug.obj

OBJECT 0 ladybug.obj

OBJECT 4 spider.obj

OBJECT 2 Ant.obj

 

KEYFRAME	0	0   75	30	0	0	0	0	5.0	5.0	5.0

KEYFRAME	1	0	-45	0	-45	0	0	0	5.0	5.0	5.0

KEYFRAME	4	0	0	0	0	0	0	0	5.0	5.0	5.0

KEYFRAME	2	0	-75	-10	0	0	0	0	25.0	25.0	25.0


KEYFRAME	0	50	60	10	-15	10	0	0	5.0	5.0	5.0

KEYFRAME	0	70	25	0	0	20	5	5	5.0	5.0	5.0

KEYFRAME	0	100	0	15	40	0	0	20	5.0	5.0	5.0

KEYFRAME	0	130	30	10	25	0	0	0	5.0	5.0	5.0


KEYFRAME	1	60	35	10	-30	0	0	0	5.0	5.0	5.0

KEYFRAME	1	100	-45	0	-10	50	50	50	5.0	5.0	5.0

KEYFRAME	1	130	-35	5	45	25	25	25	5.0	5.0	5.0

KEYFRAME	1	150	0	40	-25	10	0	25	5.0	5.0	5.0


KEYFRAME	2	20	15	-60	0	0	0	0	25.0	25.0	25.0

KEYFRAME	2	40	30	-45	10	2.5	10	0	25.0	25.0	25.0

KEYFRAME	2	75	20	-30	5	0	0	0	25.0	25.0	25.0

KEYFRAME	2	90	50	0	10	0	0	0	25.0	25.0	25.0


KEYFRAME	4	10	15	0	0	0	0	0	5.0	5.0	5.0

KEYFRAME	4	50	-15	0	-15	90	0	0	5.0	5.0	5.0

KEYFRAME	4	90	50	0	10	0	0	0	5.0	5.0	5.0

KEYFRAME	4	130	30	10	25	0	0	0	5.0	5.0	5.0

KEYFRAME	4	150	0	40	-25	0	0	0	5.0	5.0	5.0

KEYFRAME	4	190	0	0	0	0	0	0	5.0	5.0	5.0
